PROBEID	SYMBOL	GENENAME
206302_s_at	NUDT4B	nudix hydrolase 4B
202475_at	TMEM147	transmembrane protein 147
201609_x_at	ICMT	isoprenylcysteine carboxyl methyltransferase
209452_s_at	VTI1B	vesicle transport through interaction with t-SNAREs 1B
204297_at	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
217907_at	MRPL18	mitochondrial ribosomal protein L18
202733_at	P4HA2	prolyl 4-hydroxylase subunit alpha 2
203776_at	GPKOW	G-patch domain and KOW motifs
201043_s_at	ANP32A	acidic nuclear phosphoprotein 32 family member A
200622_x_at	CALM3	calmodulin 3
200622_x_at	CALM1	calmodulin 1
200622_x_at	CALM2	calmodulin 2
207233_s_at	MITF	melanogenesis associated transcription factor
220770_s_at	ZBED8	zinc finger BED-type containing 8
212204_at	TMEM87A	transmembrane protein 87A
209837_at	AP4M1	adaptor related protein complex 4 mu 1 subunit
214130_s_at	PDE4DIP	phosphodiesterase 4D interacting protein
214130_s_at	LOC100996724	phosphodiesterase 4D interacting protein-like
222212_s_at	CERS2	ceramide synthase 2
203827_at	WIPI1	WD repeat domain, phosphoinositide interacting 1
212692_s_at	LRBA	LPS responsive beige-like anchor protein
200620_at	TMEM59	transmembrane protein 59
209180_at	RABGGTB	Rab geranylgeranyltransferase beta subunit
219736_at	TRIM36	tripartite motif containing 36
216194_s_at	TBCB	tubulin folding cofactor B
205219_s_at	GALK2	galactokinase 2
210460_s_at	PSMD4	proteasome 26S subunit, non-ATPase 4
212130_x_at	EIF1	eukaryotic translation initiation factor 1
212632_at	STX7	syntaxin 7
201804_x_at	TBCB	tubulin folding cofactor B
213698_at	TMEM35B	transmembrane protein 35B
213698_at	ZMYM6	zinc finger MYM-type containing 6
203114_at	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1
206860_s_at	MIOS	meiosis regulator for oocyte development
201729_s_at	KIAA0100	KIAA0100
210131_x_at	SDHC	succinate dehydrogenase complex subunit C
212228_s_at	COQ9	coenzyme Q9
209288_s_at	CDC42EP3	CDC42 effector protein 3
213305_s_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma
203588_s_at	TFDP2	transcription factor Dp-2
209440_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1
200942_s_at	HSBP1	heat shock factor binding protein 1
202429_s_at	PPP3CA	protein phosphatase 3 catalytic subunit alpha
202594_at	LEPROTL1	leptin receptor overlapping transcript like 1
208579_x_at	H2BFS	H2B histone family member S
211759_x_at	TBCB	tubulin folding cofactor B
212641_at	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
201241_at	DDX1	DEAD-box helicase 1
206016_at	CCDC22	coiled-coil domain containing 22
218659_at	ASXL2	additional sex combs like 2, transcriptional regulator
200064_at	HSP90AB1	heat shock protein 90 alpha family class B member 1
209998_at	PIGO	phosphatidylinositol glycan anchor biosynthesis class O
212227_x_at	EIF1	eukaryotic translation initiation factor 1
1861_at	BAD	BCL2 associated agonist of cell death
208447_s_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1
