PROBEID	SYMBOL	GENENAME
201636_at	FXR1	FMR1 autosomal homolog 1
209572_s_at	EED	embryonic ectoderm development
201911_s_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
202753_at	PSMD6	proteasome 26S subunit, non-ATPase 6
219013_at	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
200955_at	IMMT	inner membrane mitochondrial protein
206302_s_at	NUDT4	nudix hydrolase 4
206302_s_at	NUDT4P2	nudix hydrolase 4 pseudogene 2
206302_s_at	NUDT4B	nudix hydrolase 4B
201609_x_at	ICMT	isoprenylcysteine carboxyl methyltransferase
209452_s_at	VTI1B	vesicle transport through interaction with t-SNAREs 1B
217907_at	MRPL18	mitochondrial ribosomal protein L18
204297_at	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
212632_at	STX7	syntaxin 7
202475_at	TMEM147	transmembrane protein 147
209256_s_at	KLHDC10	kelch domain containing 10
202733_at	P4HA2	prolyl 4-hydroxylase subunit alpha 2
201043_s_at	ANP32A	acidic nuclear phosphoprotein 32 family member A
212204_at	TMEM87A	transmembrane protein 87A
201729_s_at	KIAA0100	KIAA0100
203776_at	GPKOW	G-patch domain and KOW motifs
200622_x_at	CALM3	calmodulin 3
200622_x_at	CALM1	calmodulin 1
200622_x_at	CALM2	calmodulin 2
205219_s_at	GALK2	galactokinase 2
220770_s_at	ZBED8	zinc finger BED-type containing 8
210460_s_at	PSMD4	proteasome 26S subunit, non-ATPase 4
216194_s_at	TBCB	tubulin folding cofactor B
203827_at	WIPI1	WD repeat domain, phosphoinositide interacting 1
206860_s_at	MIOS	meiosis regulator for oocyte development
207233_s_at	MITF	melanogenesis associated transcription factor
209837_at	AP4M1	adaptor related protein complex 4 mu 1 subunit
222212_s_at	CERS2	ceramide synthase 2
212692_s_at	LRBA	LPS responsive beige-like anchor protein
209288_s_at	CDC42EP3	CDC42 effector protein 3
201804_x_at	TBCB	tubulin folding cofactor B
206016_at	CCDC22	coiled-coil domain containing 22
209180_at	RABGGTB	Rab geranylgeranyltransferase beta subunit
210131_x_at	SDHC	succinate dehydrogenase complex subunit C
211759_x_at	TBCB	tubulin folding cofactor B
212228_s_at	COQ9	coenzyme Q9
213698_at	TMEM35B	transmembrane protein 35B
213698_at	ZMYM6	zinc finger MYM-type containing 6
200620_at	TMEM59	transmembrane protein 59
201241_at	DDX1	DEAD-box helicase 1
202594_at	LEPROTL1	leptin receptor overlapping transcript like 1
214130_s_at	PDE4DIP	phosphodiesterase 4D interacting protein
214130_s_at	LOC100996724	phosphodiesterase 4D interacting protein-like
1861_at	BAD	BCL2 associated agonist of cell death
217959_s_at	TRAPPC4	trafficking protein particle complex 4
217959_s_at	MIR3656	microRNA 3656
212130_x_at	EIF1	eukaryotic translation initiation factor 1
203114_at	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1
209440_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1
219575_s_at	PDF	peptide deformylase, mitochondrial
219575_s_at	COG8	component of oligomeric golgi complex 8
209998_at	PIGO	phosphatidylinositol glycan anchor biosynthesis class O
212641_at	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
202429_s_at	PPP3CA	protein phosphatase 3 catalytic subunit alpha
213305_s_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma
200692_s_at	HSPA9	heat shock protein family A (Hsp70) member 9
202802_at	DHPS	deoxyhypusine synthase
218788_s_at	SMYD3	SET and MYND domain containing 3
200942_s_at	HSBP1	heat shock factor binding protein 1
212227_x_at	EIF1	eukaryotic translation initiation factor 1
218659_at	ASXL2	additional sex combs like 2, transcriptional regulator
219736_at	TRIM36	tripartite motif containing 36
200984_s_at	CD59	CD59 molecule (CD59 blood group)
203588_s_at	TFDP2	transcription factor Dp-2
203711_s_at	HIBCH	3-hydroxyisobutyryl-CoA hydrolase
210418_s_at	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta
221552_at	ABHD6	abhydrolase domain containing 6
208687_x_at	HSPA8	heat shock protein family A (Hsp70) member 8
208687_x_at	SNORD14C	small nucleolar RNA, C/D box 14C
208687_x_at	SNORD14D	small nucleolar RNA, C/D box 14D
211450_s_at	MSH6	mutS homolog 6
208447_s_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1
218449_at	UFSP2	UFM1 specific peptidase 2
200064_at	HSP90AB1	heat shock protein 90 alpha family class B member 1
200881_s_at	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1
200096_s_at	ATP6V0E1	ATPase H+ transporting V0 subunit e1
204238_s_at	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
208579_x_at	H2BFS	H2B histone family member S
212345_s_at	CREB3L2	cAMP responsive element binding protein 3 like 2
200009_at	GDI2	GDP dissociation inhibitor 2
200910_at	CCT3	chaperonin containing TCP1 subunit 3
201499_s_at	USP7	ubiquitin specific peptidase 7
201608_s_at	PWP1	PWP1 homolog, endonuclein
203030_s_at	PTPRN2	protein tyrosine phosphatase, receptor type N2
211136_s_at	CLPTM1	CLPTM1, transmembrane protein
213318_s_at	BAG6	BCL2 associated athanogene 6
219565_at	CYP20A1	cytochrome P450 family 20 subfamily A member 1
221449_s_at	ITFG1	integrin alpha FG-GAP repeat containing 1
